console,company,game,metascore,fecha,ano,mes
PC,PC,The Sims,92,2000-01-31,2000,1
PC,PC,Airfix Dogfighter,75,2000-01-14,2000,1
PC,PC,Crime Cities,71,2000-01-31,2000,1
PC,PC,X: Beyond the Frontier,67,2000-01-26,2000,1
PS,Sony,Parasite Eve II,79,2000-01-12,2000,1
PC,PC,Rowan's Battle of Britain,79,2001-01-31,2001,1
PC,PC,SimCoaster,75,2001-01-29,2001,1
PC,PC,Oni,73,2001-01-28,2001,1
PC,PC,Sudden Strike,69,2001-01-23,2001,1
PC,PC,Kingdom Under Fire: A War of Heroes,59,2001-01-18,2001,1
PC,PC,Odyssey: The Search for Ulysses,58,2001-01-02,2001,1
PC,PC,The Ward,57,2001-01-22,2001,1
PC,PC,Carnivores: Ice Age,54,2001-01-15,2001,1
PC,PC,America,50,2001-01-14,2001,1
PC,PC,Woody Woodpecker Racing,46,2001-01-31,2001,1
PS2,Sony,Rayman 2 Revolution,90,2001-01-30,2001,1
PS2,Sony,Aqua Aqua,79,2001-01-09,2001,1
PS2,Sony,NBA Live 2001,74,2001-01-22,2001,1
PS2,Sony,Oni,69,2001-01-29,2001,1
PS2,Sony,Kengo: Master of Bushido,62,2001-01-03,2001,1
PS2,Sony,Driving Emotion Type-S,55,2001-01-29,2001,1
PS2,Sony,RC Revenge Pro,49,2001-01-16,2001,1
DC,Sega,Phantasy Star Online,89,2001-01-29,2001,1
DC,Sega,Metropolis Street Racer,87,2001-01-15,2001,1
DC,Sega,The Typing of the Dead,83,2001-01-23,2001,1
DC,Sega,Sega Smash Pack Volume 1,76,2001-01-31,2001,1
PS,Sony,Championship Motocross 2001 Featuring Ricky Carmichael,70,2001-01-30,2001,1
PS,Sony,Ducati World Racing Challenge,68,2001-01-02,2001,1
PS,Sony,Darkstone,58,2001-01-28,2001,1
PC,PC,Medal of Honor: Allied Assault,91,2002-01-20,2002,1
PC,PC,Sid Meier's SimGolf,84,2002-01-23,2002,1
PC,PC,Disciples II: Dark Prophecy,84,2002-01-22,2002,1
PC,PC,Black & White: Creature Isle,72,2002-01-21,2002,1
PC,PC,Star Wars: Starfighter,71,2002-01-20,2002,1
PC,PC,Moto Racer 3,66,2002-01-31,2002,1
PC,PC,The Cameron Files: The Secret at Loch Ness,66,2002-01-24,2002,1
PC,PC,Darkened Skye,65,2002-01-27,2002,1
PC,PC,Salt Lake 2002,44,2002-01-23,2002,1
PC,PC,Demonworld: Dark Armies,33,2002-01-13,2002,1
PS2,Sony,NBA 2K2,89,2002-01-12,2002,1
PS2,Sony,Rez,78,2002-01-07,2002,1
PS2,Sony,Drakan: The Ancients' Gates,78,2002-01-28,2002,1
PS2,Sony,MotoGP 2,78,2002-01-22,2002,1
PS2,Sony,Mobile Suit Gundam: Zeonic Front,71,2002-01-15,2002,1
PS2,Sony,Grandia II,71,2002-01-28,2002,1
PS2,Sony,AirBlade,70,2002-01-28,2002,1
PS2,Sony,PaRappa the Rapper 2,67,2002-01-23,2002,1
PS2,Sony,ESPN Winter X-Games Snowboarding 2002,64,2002-01-14,2002,1
PS2,Sony,Forever Kingdom,64,2002-01-21,2002,1
PS2,Sony,ESPN International Winter Sports 2002,62,2002-01-28,2002,1
PS2,Sony,NCAA March Madness 2002,54,2002-01-07,2002,1
PS2,Sony,Salt Lake 2002,49,2002-01-29,2002,1
PS2,Sony,GoDai: Elemental Force,27,2002-01-21,2002,1
XBOX,Microsoft,NFL 2K2,87,2002-01-09,2002,1
XBOX,Microsoft,Genma Onimusha,83,2002-01-28,2002,1
XBOX,Microsoft,NBA Inside Drive 2002,76,2002-01-21,2002,1
XBOX,Microsoft,Nightcaster,61,2002-01-21,2002,1
XBOX,Microsoft,ESPN NFL PrimeTime 2002,57,2002-01-22,2002,1
GBA,Nintendo,Tekken Advance,82,2002-01-28,2002,1
GBA,Nintendo,Mech Platoon,77,2002-01-03,2002,1
GBA,Nintendo,Dark Arena,65,2002-01-18,2002,1
GBA,Nintendo,Salt Lake 2002,55,2002-01-19,2002,1
GC,Nintendo,NBA Courtside 2002,71,2002-01-13,2002,1
GC,Nintendo,Cel Damage,67,2002-01-07,2002,1
PC,PC,SimCity 4,84,2003-01-12,2003,1
PC,PC,Highland Warriors,58,2003-01-20,2003,1
PS2,Sony,The Sims,83,2003-01-12,2003,1
PS2,Sony,War of the Monsters,80,2003-01-14,2003,1
PS2,Sony,Battle Engine Aquila,73,2003-01-19,2003,1
PS2,Sony,The Getaway,72,2003-01-19,2003,1
PS2,Sony,Dynasty Warriors 3: Xtreme Legends,72,2003-01-11,2003,1
PS2,Sony,ATV Quad Power Racing 2,68,2003-01-13,2003,1
PS2,Sony,Devil May Cry 2,68,2003-01-25,2003,1
PS2,Sony,Fisherman's Challenge,67,2003-01-19,2003,1
PS2,Sony,Black & Bruised,63,2003-01-26,2003,1
PS2,Sony,HSX HyperSonic.Xtreme,53,2003-01-26,2003,1
XBOX,Microsoft,Panzer Dragoon Orta,90,2003-01-12,2003,1
XBOX,Microsoft,Battle Engine Aquila,76,2003-01-20,2003,1
XBOX,Microsoft,Dead or Alive Xtreme Beach Volleyball,73,2003-01-22,2003,1
XBOX,Microsoft,ATV Quad Power Racing 2,68,2003-01-27,2003,1
XBOX,Microsoft,Pulse Racer,24,2003-01-02,2003,1
GBA,Nintendo,Karnaaj Rally,81,2003-01-02,2003,1
GBA,Nintendo,Crash Bandicoot 2: N-Tranced,75,2003-01-07,2003,1
GBA,Nintendo,Jazz Jackrabbit,68,2003-01-03,2003,1
GBA,Nintendo,Sea Trader: Rise of Taipan,68,2003-01-03,2003,1
GBA,Nintendo,Digimon Battle Spirit,60,2003-01-13,2003,1
GC,Nintendo,Skies of Arcadia Legends,84,2003-01-27,2003,1
GC,Nintendo,Summoner: A Goddess Reborn,72,2003-01-31,2003,1
GC,Nintendo,ATV Quad Power Racing 2,70,2003-01-22,2003,1
GC,Nintendo,Black & Bruised,66,2003-01-26,2003,1
GC,Nintendo,Resident Evil 3: Nemesis,62,2003-01-15,2003,1
GC,Nintendo,Resident Evil 2,59,2003-01-16,2003,1
GC,Nintendo,Super Bubble Pop,54,2003-01-03,2003,1
GC,Nintendo,The Sum of All Fears,36,2003-01-09,2003,1
PC,PC,Silent Storm,83,2004-01-20,2004,1
PC,PC,Vegas Tycoon,76,2004-01-15,2004,1
PC,PC,Delta Force: Black Hawk Down - Team Sabre,70,2004-01-20,2004,1
PC,PC,Counter-Strike: Condition Zero,65,2004-01-03,2004,1
PC,PC,Jack the Ripper,58,2004-01-29,2004,1
PC,PC,Fast Lanes Bowling,51,2004-01-07,2004,1
PC,PC,Coliseum,32,2004-01-06,2004,1
PS2,Sony,Maximo vs Army of Zin,83,2004-01-20,2004,1
PS2,Sony,NFL Street,80,2004-01-13,2004,1
PS2,Sony,Baldur's Gate: Dark Alliance II,78,2004-01-20,2004,1
PS2,Sony,.hack//Quarantine Part 4,70,2004-01-14,2004,1
PS2,Sony,Mafia,65,2004-01-28,2004,1
PS2,Sony,Fallout: Brotherhood of Steel,64,2004-01-14,2004,1
PS2,Sony,Sonic Heroes,64,2004-01-27,2004,1
PS2,Sony,Star Trek: Shattered Universe,42,2004-01-13,2004,1
XBOX,Microsoft,NFL Street,81,2004-01-13,2004,1
XBOX,Microsoft,Baldur's Gate: Dark Alliance II,77,2004-01-20,2004,1
XBOX,Microsoft,Sonic Heroes,73,2004-01-27,2004,1
XBOX,Microsoft,Sega GT Online,72,2004-01-27,2004,1
XBOX,Microsoft,Fallout: Brotherhood of Steel,66,2004-01-14,2004,1
XBOX,Microsoft,Auto Modellista,52,2004-01-20,2004,1
XBOX,Microsoft,Star Trek: Shattered Universe,41,2004-01-14,2004,1
GBA,Nintendo,CT Special Forces,71,2004-01-04,2004,1
GBA,Nintendo,Sonic Battle,69,2004-01-05,2004,1
GC,Nintendo,NFL Street,81,2004-01-13,2004,1
GC,Nintendo,Conflict: Desert Storm II - Back to Baghdad,73,2004-01-07,2004,1
GC,Nintendo,Sonic Heroes,72,2004-01-05,2004,1
PC,PC,Hearts of Iron II,83,2005-01-04,2005,1
PC,PC,The Punisher,67,2005-01-18,2005,1
PC,PC,Playboy: The Mansion,59,2005-01-25,2005,1
PC,PC,Cops 2170: The Power of Law,44,2005-01-27,2005,1
DS,Nintendo,Zoo Keeper,74,2005-01-18,2005,1
PS2,Sony,Mercenaries,84,2005-01-10,2005,1
PS2,Sony,The Punisher,68,2005-01-17,2005,1
PS2,Sony,Suikoden IV,63,2005-01-11,2005,1
PS2,Sony,Playboy: The Mansion,59,2005-01-25,2005,1
PS2,Sony,The Getaway: Black Monday,57,2005-01-11,2005,1
PS2,Sony,Fullmetal Alchemist and the Broken Angel,56,2005-01-18,2005,1
PS2,Sony,Virtua Quest,53,2005-01-18,2005,1
XBOX,Microsoft,Oddworld: Stranger's Wrath,88,2005-01-25,2005,1
XBOX,Microsoft,Mercenaries,86,2005-01-10,2005,1
XBOX,Microsoft,The Punisher 2005,69,2005-01-17,2005,1
XBOX,Microsoft,Tork: Prehistoric Punk,62,2005-01-12,2005,1
XBOX,Microsoft,Playboy: The Mansion,61,2005-01-25,2005,1
GBA,Nintendo,The Legend of Zelda: The Minish Cap,89,2005-01-10,2005,1
GBA,Nintendo,Banjo-Pilot,68,2005-01-12,2005,1
GC,Nintendo,Resident Evil 4,96,2005-01-11,2005,1
GC,Nintendo,Virtua Quest,55,2005-01-19,2005,1
X360,Microsoft,Marble Blast Ultra,79,2006-01-23,2006,1
PC,PC,GT Legends,84,2006-01-23,2006,1
PC,PC,MX vs. ATV Unleashed,71,2006-01-16,2006,1
PC,PC,25 to Life,39,2006-01-17,2006,1
PC,PC,Torino 2006 - The Official Video Game of the XX Olympic Winter Games,37,2006-01-24,2006,1
DS,Nintendo,Electroplankton,71,2006-01-09,2006,1
DS,Nintendo,True Swing Golf,66,2006-01-23,2006,1
DS,Nintendo,Tamagotchi Connection: Corner Shop,59,2006-01-31,2006,1
DS,Nintendo,Nicktoons Unite!,53,2006-01-10,2006,1
PSP,Sony,Mega Man Maverick Hunter X,79,2006-01-31,2006,1
PSP,Sony,PQ: Practical Intelligence Quotient,69,2006-01-10,2006,1
PSP,Sony,Ape Escape Academy,51,2006-01-17,2006,1
PS2,Sony,Devil May Cry 3: Special Edition,87,2006-01-24,2006,1
PS2,Sony,Ape Escape 3,77,2006-01-17,2006,1
PS2,Sony,MVP 06 NCAA Baseball,76,2006-01-18,2006,1
PS2,Sony,Mega Man X Collection,73,2006-01-10,2006,1
PS2,Sony,Wild Arms 4,69,2006-01-10,2006,1
PS2,Sony,Torino 2006 - the Official Video Game of the XX Olympic Winter Games,39,2006-01-24,2006,1
PS2,Sony,25 to Life,39,2006-01-17,2006,1
XBOX,Microsoft,MVP 06 NCAA Baseball,75,2006-01-18,2006,1
XBOX,Microsoft,Samurai Shodown V,58,2006-01-18,2006,1
XBOX,Microsoft,25 to Life,41,2006-01-17,2006,1
