console_company,game,metascore
3DS/Nintendo,The Legend of Zelda: Ocarina of Time 3D,94
3DS/Nintendo,Fire Emblem: Awakening,92
3DS/Nintendo,The Legend of Zelda: A Link Between Worlds,91
3DS/Nintendo,Shovel Knight,90
3DS/Nintendo,Super Mario 3D Land,90
3DS/Nintendo,Pushmo,90
3DS/Nintendo,The Legend of Zelda: Majora's Mask 3D,89
3DS/Nintendo,Colors! 3D,89
3DS/Nintendo,3D Streets of Rage II,89
3DS/Nintendo,3D Gunstar Heroes,89
DC/Sega,NFL 2K1,97
DC/Sega,Tony Hawk's Pro Skater 2,97
DC/Sega,Jet Grind Radio,94
DC/Sega,Quake III Arena,93
DC/Sega,NBA 2K2,93
DC/Sega,Skies of Arcadia,93
DC/Sega,Test Drive Le Mans,93
DC/Sega,NBA 2K1,93
DC/Sega,Unreal Tournament,90
DC/Sega,Marvel vs. Capcom 2,90
DS/Nintendo,Grand Theft Auto: Chinatown Wars,93
DS/Nintendo,Flipnote Studio,93
DS/Nintendo,Chrono Trigger,92
DS/Nintendo,Mario Kart DS,91
DS/Nintendo,Advance Wars: Dual Strike,90
DS/Nintendo,Mario & Luigi: Bowser's Inside Story,90
DS/Nintendo,The Legend of Zelda: Phantom Hourglass,90
DS/Nintendo,New Super Mario Bros.,89
DS/Nintendo,Castlevania: Dawn of Sorrow,89
DS/Nintendo,The World Ends with You,88
GBA/Nintendo,Tony Hawk's Pro Skater 2,95
GBA/Nintendo,The Legend of Zelda: A Link to the Past,95
GBA/Nintendo,Super Mario Advance 4: Super Mario Bros. 3,94
GBA/Nintendo,Mario Kart Super Circuit,93
GBA/Nintendo,Super Mario World: Super Mario Advance 2,92
GBA/Nintendo,Final Fantasy VI Advance,92
GBA/Nintendo,Advance Wars,92
GBA/Nintendo,Metroid Fusion,92
GBA/Nintendo,Castlevania: Aria of Sorrow,91
GBA/Nintendo,Castlevania: Circle of the Moon,91
GC/Nintendo,Metroid Prime,97
GC/Nintendo,Resident Evil 4,96
GC/Nintendo,The Legend of Zelda: The Wind Waker,96
GC/Nintendo,The Legend of Zelda: Twilight Princess,96
GC/Nintendo,The Legend of Zelda Collector's Edition,95
GC/Nintendo,Madden NFL 2004,94
GC/Nintendo,SoulCalibur II,93
GC/Nintendo,Viewtiful Joe,93
GC/Nintendo,Eternal Darkness: Sanity's Requiem,92
GC/Nintendo,NFL 2K3,92
N64/Nintendo,Perfect Dark,97
N64/Nintendo,The Legend of Zelda: Majora's Mask,95
N64/Nintendo,Paper Mario,93
N64/Nintendo,Conker's Bad Fur Day,92
N64/Nintendo,Mario Tennis,91
N64/Nintendo,Banjo-Tooie,90
N64/Nintendo,WWF No Mercy,89
N64/Nintendo,Excitebike 64,88
N64/Nintendo,Tony Hawk's Pro Skater 2,84
N64/Nintendo,Star Wars: Episode I Battle for Naboo,84
PC/PC,Grand Theft Auto V,96
PC/PC,BioShock,96
PC/PC,The Orange Box,96
PC/PC,Half-Life 2,96
PC/PC,Portal 2,95
PC/PC,Baldur's Gate II: Shadows of Amn,95
PC/PC,Mass Effect 2,94
PC/PC,The Elder Scrolls IV: Oblivion,94
PC/PC,BioShock Infinite,94
PC/PC,Grand Theft Auto: Vice City,94
PS/Sony,Tony Hawk's Pro Skater 2,98
PS/Sony,Chrono Cross,94
PS/Sony,Final Fantasy IX,94
PS/Sony,Vagrant Story,92
PS/Sony,Spyro: Year of the Dragon,91
PS/Sony,Dance Dance Revolution,90
PS/Sony,Madden NFL 2001,90
PS/Sony,WWF SmackDown! 2: Know Your Role,90
PS/Sony,Colin McRae Rally 2.0,90
PS/Sony,Final Fantasy Chronicles,89
PS2/Sony,Tony Hawk's Pro Skater 3,97
PS2/Sony,Grand Theft Auto III,97
PS2/Sony,Resident Evil 4,96
PS2/Sony,Metal Gear Solid 2: Sons of Liberty,96
PS2/Sony,Gran Turismo 3: A-Spec,95
PS2/Sony,Madden NFL 2003,95
PS2/Sony,Grand Theft Auto: Vice City,95
PS2/Sony,Grand Theft Auto: San Andreas,95
PS2/Sony,Virtua Fighter 4,94
PS2/Sony,God of War,94
PS3/Sony,Grand Theft Auto IV,98
PS3/Sony,Grand Theft Auto V,97
PS3/Sony,Uncharted 2: Among Thieves,96
PS3/Sony,Batman: Arkham City,96
PS3/Sony,Portal 2,95
PS3/Sony,Red Dead Redemption,95
PS3/Sony,The Last of Us,95
PS3/Sony,LittleBigPlanet,95
PS3/Sony,Mass Effect 2,94
PS3/Sony,Street Fighter IV,94
PS4/Sony,Red Dead Redemption 2,97
PS4/Sony,Grand Theft Auto V,97
PS4/Sony,The Last of Us Remastered,95
PS4/Sony,God of War,94
PS4/Sony,Persona 5,93
PS4/Sony,Uncharted 4: A Thief's End,93
PS4/Sony,Metal Gear Solid V: The Phantom Pain,93
PS4/Sony,Bloodborne,92
PS4/Sony,The Witcher 3: Wild Hunt,92
PS4/Sony,Journey,92
PSP/Sony,God of War: Chains of Olympus,91
PSP/Sony,Grand Theft Auto: Chinatown Wars,90
PSP/Sony,Lumines,89
PSP/Sony,Metal Gear Solid: Peace Walker,89
PSP/Sony,Shin Megami Tensei: Persona 3 Portable,89
PSP/Sony,Wipeout Pure,88
PSP/Sony,Ridge Racer,88
PSP/Sony,Tekken: Dark Resurrection,88
PSP/Sony,Grand Theft Auto: Liberty City Stories,88
PSP/Sony,Final Fantasy Tactics: The War of the Lions,88
Switch/Nintendo,The Legend of Zelda: Breath of the Wild,97
Switch/Nintendo,Super Mario Odyssey,97
Switch/Nintendo,Undertale,93
Switch/Nintendo,Celeste,92
Switch/Nintendo,Bayonetta 2,92
Switch/Nintendo,Mario Kart 8 Deluxe,92
Switch/Nintendo,Shovel Knight: Treasure Trove,91
Switch/Nintendo,INSIDE,91
Switch/Nintendo,Sonic Mania Plus,91
Switch/Nintendo,SteamWorld Heist: Ultimate Edition,91
VITA/Sony,Persona 4 Golden,93
VITA/Sony,Velocity 2X,90
VITA/Sony,Rayman Origins,88
VITA/Sony,Spelunky,88
VITA/Sony,LittleBigPlanet PS Vita,88
VITA/Sony,Guacamelee!,87
VITA/Sony,Velocity Ultra,87
VITA/Sony,Rayman Legends,87
VITA/Sony,Tearaway,87
VITA/Sony,Tales From Space: Mutant Blobs Attack,86
WII/Nintendo,Super Mario Galaxy 2,97
WII/Nintendo,Super Mario Galaxy,97
WII/Nintendo,The Legend of Zelda: Twilight Princess,95
WII/Nintendo,World of Goo,94
WII/Nintendo,Super Smash Bros. Brawl,93
WII/Nintendo,The Legend of Zelda: Skyward Sword,93
WII/Nintendo,Xenoblade Chronicles,92
WII/Nintendo,Rayman Origins,92
WII/Nintendo,Rock Band 2,92
WII/Nintendo,Resident Evil 4: Wii Edition,91
WIIU/Nintendo,The Legend of Zelda: Breath of the Wild,96
WIIU/Nintendo,Super Mario 3D World,93
WIIU/Nintendo,Rayman Legends,92
WIIU/Nintendo,Super Smash Bros. for Wii U,92
WIIU/Nintendo,Bayonetta 2,91
WIIU/Nintendo,Mario Kart 8 DLC Pack 2,90
WIIU/Nintendo,Guacamelee! Super Turbo Championship Edition,90
WIIU/Nintendo,The Legend of Zelda: The Wind Waker HD,90
WIIU/Nintendo,Axiom Verge,89
WIIU/Nintendo,Skylanders Swap Force,89
X360/Microsoft,Grand Theft Auto IV,98
X360/Microsoft,Grand Theft Auto V,97
X360/Microsoft,Mass Effect 2,96
X360/Microsoft,BioShock,96
X360/Microsoft,The Orange Box,96
X360/Microsoft,The Elder Scrolls V: Skyrim,96
X360/Microsoft,Portal 2,95
X360/Microsoft,Red Dead Redemption,95
X360/Microsoft,The Elder Scrolls IV: Oblivion,94
X360/Microsoft,Halo 3,94
XBOX/Microsoft,Halo: Combat Evolved,97
XBOX/Microsoft,Grand Theft Auto Double Pack,96
XBOX/Microsoft,Halo 2,95
XBOX/Microsoft,Tom Clancy's Splinter Cell Chaos Theory,94
XBOX/Microsoft,Star Wars: Knights of the Old Republic,94
XBOX/Microsoft,Burnout 3: Takedown,94
XBOX/Microsoft,Ninja Gaiden Black,94
XBOX/Microsoft,Tony Hawk's Pro Skater 3,93
XBOX/Microsoft,Tom Clancy's Splinter Cell Pandora Tomorrow,93
XBOX/Microsoft,Grand Theft Auto: San Andreas,93
XONE/Microsoft,Red Dead Redemption 2,98
XONE/Microsoft,Grand Theft Auto V,97
XONE/Microsoft,Metal Gear Solid V: The Phantom Pain,95
XONE/Microsoft,Celeste,94
XONE/Microsoft,INSIDE,93
XONE/Microsoft,Divinity: Original Sin II - Definitive Edition,93
XONE/Microsoft,What Remains of Edith Finch,92
XONE/Microsoft,Forza Horizon 4,92
XONE/Microsoft,The Witcher 3: Wild Hunt,91
XONE/Microsoft,Overwatch,91
