console_company,game,metascore
3DS/Nintendo,Tenkai Knights: Brave Battle,26
3DS/Nintendo,Transformers: Dark of the Moon - Stealth Force Edition,30
3DS/Nintendo,Power Rangers Megaforce,30
3DS/Nintendo,Langrisser Re:Incarnation -TENSEI-,35
3DS/Nintendo,3D Classics: Urban Champion,37
3DS/Nintendo,RollerCoaster Tycoon 3D,39
3DS/Nintendo,Chronus Arc,40
3DS/Nintendo,Turtle Tale,41
3DS/Nintendo,One Piece: Romance Dawn,42
3DS/Nintendo,Block Factory,42
DC/Sega,ECW Anarchy Rulz,38
DC/Sega,Ducati World Racing Challenge,40
DC/Sega,NFL QB Club 2001,44
DC/Sega,Death Crimson OX,46
DC/Sega,World Series Baseball 2K1,48
DC/Sega,Evil Dead: Hail to the King,49
DC/Sega,Sydney 2000,53
DC/Sega,Sonic Shuffle,54
DC/Sega,Surf Rocket Racers,55
DC/Sega,Buzz Lightyear of Star Command,55
DS/Nintendo,Deal or No Deal,20
DS/Nintendo,Homie Rollerz,23
DS/Nintendo,Thundercats,28
DS/Nintendo,Godzilla Unleashed: Double Smash,28
DS/Nintendo,Ping Pals,28
DS/Nintendo,Duke Nukem: Critical Mass,29
DS/Nintendo,Toy Shop,31
DS/Nintendo,Best of Tests DS,32
DS/Nintendo,Jenga World Tour,32
DS/Nintendo,Superman Returns,33
GBA/Nintendo,Legends of Wrestling II,24
GBA/Nintendo,Mucha Lucha! Mascaritas of the Lost Code,26
GBA/Nintendo,Fear Factor: Unleashed,30
GBA/Nintendo,Van Helsing,33
GBA/Nintendo,Mortal Kombat Advance,33
GBA/Nintendo,Yu Yu Hakusho: Spirit Detective,33
GBA/Nintendo,David Beckham Soccer,34
GBA/Nintendo,Street Jam Basketball,35
GBA/Nintendo,NFL Blitz 20-02,37
GBA/Nintendo,Gauntlet: Dark Legacy,37
GC/Nintendo,Charlie's Angels,23
GC/Nintendo,Aquaman: Battle for Atlantis,27
GC/Nintendo,Batman: Dark Tomorrow,29
GC/Nintendo,Bad Boys: Miami Takedown,35
GC/Nintendo,The Sum of All Fears,36
GC/Nintendo,Jeremy McGrath Supercross World,36
GC/Nintendo,Disney Sports Skateboarding,36
GC/Nintendo,Charlie and the Chocolate Factory,39
GC/Nintendo,"Monsters, Inc. Scream Arena",39
GC/Nintendo,Universal Studios Theme Parks Adventure,39
N64/Nintendo,Rally Challenge 2000,41
N64/Nintendo,Cruis'n Exotica,43
N64/Nintendo,Army Men: Sarge's Heroes 2,46
N64/Nintendo,Aidyn Chronicles: The First Mage,53
N64/Nintendo,Fighter Destiny 2,54
N64/Nintendo,Hercules: The Legendary Journeys,55
N64/Nintendo,NFL QB Club 2001,57
N64/Nintendo,"Hey You, Pikachu!",57
N64/Nintendo,PGA European Tour,58
N64/Nintendo,Duck Dodgers Starring Daffy Duck,69
PC/PC,Ride to Hell: Retribution,16
PC/PC,Alone in the Dark: Illumination,19
PC/PC,Leisure Suit Larry: Box Office Bust,20
PC/PC,Infestation: Survivor Stories The War Z,20
PC/PC,FlatOut 3: Chaos & Destruction,23
PC/PC,Terrawars: New York Invasion,24
PC/PC,Postal III,24
PC/PC,Stalin vs. Martians,25
PC/PC,Call for Heroes: Pompolic Wars,25
PC/PC,Charlie and the Chocolate Factory,26
PS/Sony,Dragon Ball Z: Ultimate Battle 22,25
PS/Sony,KISS Pinball,26
PS/Sony,HBO Boxing,26
PS/Sony,Mortal Kombat: Special Forces,28
PS/Sony,The Simpsons Wrestling,32
PS/Sony,Duke Nukem: Land of the Babes,37
PS/Sony,Resident Evil: Survivor,39
PS/Sony,MTV Sports: Skateboarding featuring Andy Macdonald,40
PS/Sony,ATV: Quad Power Racing,42
PS/Sony,Jeremy McGrath Supercross 2000,43
PS2/Sony,Gravity Games Bike: Street Vert Dirt,24
PS2/Sony,GoDai: Elemental Force,27
PS2/Sony,Women's Volleyball Championship,32
PS2/Sony,MTV's Celebrity Deathmatch,32
PS2/Sony,Mike Tyson Heavyweight Boxing,33
PS2/Sony,McFarlane's Evil Prophecy,34
PS2/Sony,Charlie and the Chocolate Factory,35
PS2/Sony,Jeremy McGrath Supercross World,35
PS2/Sony,Fugitive Hunter: War on Terror,35
PS2/Sony,The Shield: The Game,36
PS3/Sony,Leisure Suit Larry: Box Office Bust,17
PS3/Sony,Rambo: The Video Game,23
PS3/Sony,NBA Unrivaled,24
PS3/Sony,Rogue Warrior,27
PS3/Sony,Vampire Rain: Altered Species,30
PS3/Sony,Smash 'N' Survive,31
PS3/Sony,DreamWorks Kung Fu Panda 2,31
PS3/Sony,Dream Chronicles,31
PS3/Sony,Magus,32
PS3/Sony,AMY,33
PS4/Sony,Afro Samurai 2: Revenge of Kuma Volume One,21
PS4/Sony,Road Rage,26
PS4/Sony,Basement Crawl,27
PS4/Sony,Ghostbusters,30
PS4/Sony,Air Conflicts: Vietnam Ultimate Edition,30
PS4/Sony,Dino Dini's Kick Off Revival,31
PS4/Sony,Tony Hawk's Pro Skater 5,32
PS4/Sony,Weeping Doll,32
PS4/Sony,One Piece: Grand Cruise,35
