console,company,game,userscore,fecha,ano,mes
PC,PC,The Sims,7.9,2000-01-31,2000,1
PC,PC,Airfix Dogfighter,8.1,2000-01-14,2000,1
PC,PC,Crime Cities,7.0,2000-01-31,2000,1
PC,PC,X: Beyond the Frontier,7.4,2000-01-26,2000,1
PS,Sony,Parasite Eve II,9.0,2000-01-12,2000,1
PC,PC,Thief II: The Metal Age,9.0,2000-02-29,2000,2
N64,Nintendo,Ridge Racer 64,8.2,2000-02-14,2000,2
PS,Sony,Need for Speed: Porsche Unleashed,8.2,2000-02-29,2000,2
PS,Sony,Army Men: World War,7.1,2000-02-29,2000,2
PC,PC,EverQuest: The Ruins of Kunark,8.5,2000-03-31,2000,3
PC,PC,Allegiance,7.7,2000-03-31,2000,3
PC,PC,StarLancer,7.4,2000-03-31,2000,3
PC,PC,Traitor's Gate,6.8,2000-04-30,2000,4
N64,Nintendo,Excitebike 64,8.0,2000-04-30,2000,4
PC,PC,Ground Control,7.6,2000-05-31,2000,5
PC,PC,MDK2,7.9,2000-05-31,2000,5
PC,PC,SimCity 3000 Unlimited,8.6,2000-05-16,2000,5
N64,Nintendo,Perfect Dark,8.9,2000-05-22,2000,5
DC,Sega,Bust-A-Move 4,8.5,2000-05-31,2000,5
PS,Sony,Vagrant Story,9.0,2000-05-15,2000,5
PC,PC,Deus Ex,9.2,2000-06-23,2000,6
PC,PC,Descent 3,8.1,2000-06-14,2000,6
PC,PC,Diablo II,8.8,2000-06-29,2000,6
PC,PC,Icewind Dale,8.3,2000-06-29,2000,6
PC,PC,Shogun: Total War,8.7,2000-06-13,2000,6
PC,PC,Dark Reign 2,7.3,2000-06-30,2000,6
PC,PC,BreakNeck 2000,6.7,2000-06-21,2000,6
PC,PC,Star Trek: Klingon Academy,7.2,2000-06-21,2000,6
PC,PC,Vampire: The Masquerade - Redemption,8.3,2000-06-07,2000,6
PC,PC,Dracula: The Resurrection,6.7,2000-06-14,2000,6
PC,PC,BeachHead 2000,7.0,2000-06-14,2000,6
N64,Nintendo,Starcraft 64,8.2,2000-06-13,2000,6
N64,Nintendo,Kirby 64: The Crystal Shards,8.2,2000-06-26,2000,6
DC,Sega,Marvel vs. Capcom 2,8.8,2000-06-29,2000,6
DC,Sega,Street Fighter III: Double Impact,8.2,2000-06-19,2000,6
DC,Sega,Railroad Tycoon II: Gold Edition,8.8,2000-06-30,2000,6
DC,Sega,Toy Story 2: Buzz Lightyear to the Rescue!,6.6,2000-06-30,2000,6
PS,Sony,Star Trek: Invasion,7.5,2000-06-29,2000,6
