console_company,game,userscore
3DS/Nintendo,Fire Emblem: Awakening,9.1
3DS/Nintendo,Theatrhythm Final Fantasy: Curtain Call,9.1
3DS/Nintendo,Pokemon Ultra Moon,9.1
3DS/Nintendo,The Legend of Zelda: Ocarina of Time 3D,9.0
3DS/Nintendo,The Legend of Zelda: A Link Between Worlds,9.0
3DS/Nintendo,Pokemon Ultra Sun,9.0
3DS/Nintendo,The Legend of Zelda: Majora's Mask 3D,8.9
3DS/Nintendo,Xenoblade Chronicles 3D,8.9
3DS/Nintendo,Metroid: Samus Returns,8.9
3DS/Nintendo,Kid Icarus: Uprising,8.8
DC/Sega,Shenmue II,9.1
DC/Sega,Resident Evil 3: Nemesis,9.0
DC/Sega,Dino Crisis,9.0
DC/Sega,Power Stone 2,8.9
DC/Sega,Skies of Arcadia,8.9
DC/Sega,Resident Evil 2,8.9
DC/Sega,Marvel vs. Capcom 2,8.8
DC/Sega,Railroad Tycoon II: Gold Edition,8.8
DC/Sega,Silent Scope,8.8
DC/Sega,Metropolis Street Racer,8.8
DS/Nintendo,Chrono Trigger,9.2
DS/Nintendo,Phoenix Wright: Ace Attorney,9.0
DS/Nintendo,Phoenix Wright: Ace Attorney - Trials and Tribulations,9.0
DS/Nintendo,Advance Wars: Dual Strike,8.9
DS/Nintendo,Professor Layton and the Unwound Future,8.9
DS/Nintendo,The World Ends with You,8.8
DS/Nintendo,Final Fantasy IV,8.8
DS/Nintendo,Kirby Super Star Ultra,8.8
DS/Nintendo,"Nine Hours, Nine Persons, Nine Doors",8.8
DS/Nintendo,Ghost Trick: Phantom Detective,8.8
GBA/Nintendo,Final Fantasy VI Advance,9.3
GBA/Nintendo,Final Fantasy Tactics Advance,9.2
GBA/Nintendo,Advance Wars 2: Black Hole Rising,9.1
GBA/Nintendo,Fire Emblem,9.1
GBA/Nintendo,Advance Wars,9.0
GBA/Nintendo,Golden Sun,9.0
GBA/Nintendo,Metroid Fusion,9.0
GBA/Nintendo,Golden Sun: The Lost Age,9.0
GBA/Nintendo,Mario & Luigi: Superstar Saga,9.0
GBA/Nintendo,Super Mario World: Super Mario Advance 2,8.9
GC/Nintendo,Resident Evil,9.3
GC/Nintendo,Resident Evil 4,9.3
GC/Nintendo,Metroid Prime,9.2
GC/Nintendo,Super Smash Bros. Melee,9.1
GC/Nintendo,Tales of Symphonia,9.1
GC/Nintendo,Paper Mario: The Thousand-Year Door,9.1
GC/Nintendo,The Legend of Zelda: Ocarina of Time / Master Quest,9.0
GC/Nintendo,The Legend of Zelda Collector's Edition,9.0
GC/Nintendo,Pikmin 2,9.0
GC/Nintendo,The Legend of Zelda: The Wind Waker,8.9
N64/Nintendo,The Legend of Zelda: Majora's Mask,9.1
N64/Nintendo,Paper Mario,9.1
N64/Nintendo,Conker's Bad Fur Day,9.1
N64/Nintendo,Banjo-Tooie,9.0
N64/Nintendo,Perfect Dark,8.9
N64/Nintendo,Mario Tennis,8.9
N64/Nintendo,Ogre Battle 64,8.9
N64/Nintendo,WWF No Mercy,8.8
N64/Nintendo,Tony Hawk's Pro Skater 2,8.8
N64/Nintendo,Pokemon Puzzle League,8.5
PC/PC,The Witcher 3: Wild Hunt,9.3
PC/PC,Deus Ex,9.2
PC/PC,Baldur's Gate II: Shadows of Amn,9.2
PC/PC,Counter-Strike,9.2
PC/PC,The Orange Box,9.2
PC/PC,Portal,9.2
PC/PC,Final Fantasy IX,9.2
PC/PC,The Witcher 3: Wild Hunt - Blood and Wine,9.2
PC/PC,Final Fantasy X / X-2 HD Remaster,9.2
PC/PC,Max Payne,9.1
PS/Sony,Final Fantasy Chronicles,9.4
PS/Sony,The Legend of Dragoon,9.3
PS/Sony,Final Fantasy IX,9.2
PS/Sony,Dino Crisis 2,9.1
PS/Sony,Parasite Eve II,9.0
