console_company,game,userscore
3DS/Nintendo,RollerCoaster Tycoon 3D,2.6
3DS/Nintendo,Tenkai Knights: Brave Battle,2.7
3DS/Nintendo,The Sims 3,3.1
3DS/Nintendo,Transformers: Dark of the Moon - Stealth Force Edition,3.3
3DS/Nintendo,DualPenSports,3.5
3DS/Nintendo,Shin Megami Tensei: Strange Journey Redux,3.5
3DS/Nintendo,Bit Boy!! Arcade,3.8
3DS/Nintendo,FIFA Soccer 12,3.9
3DS/Nintendo,Tetris Ultimate,4.0
3DS/Nintendo,Thor: God of Thunder,4.2
DC/Sega,Death Crimson OX,4.5
DC/Sega,Heavy Metal: Geomatrix,5.8
DC/Sega,WWF Royal Rumble,5.9
DC/Sega,Evil Dead: Hail to the King,6.0
DC/Sega,Tony Hawk's Pro Skater 2,6.2
DC/Sega,NFL 2K1,6.4
DC/Sega,Ms. Pac-Man Maze Madness,6.4
DC/Sega,Star Wars: Demolition,6.4
DC/Sega,Toy Story 2: Buzz Lightyear to the Rescue!,6.6
DC/Sega,KAO the Kangaroo,6.8
DS/Nintendo,Call of Duty: Modern Warfare 3 - Defiance,1.1
DS/Nintendo,Thundercats,1.1
DS/Nintendo,March of the Penguins,1.7
DS/Nintendo,Deal or No Deal,2.0
DS/Nintendo,Cars,2.1
DS/Nintendo,The Sims 2: Apartment Pets,2.2
DS/Nintendo,Inkheart,2.2
DS/Nintendo,Spore Hero Arena,2.2
DS/Nintendo,LOL: Never Party Alone!,2.3
DS/Nintendo,Homie Rollerz,2.4
GBA/Nintendo,Mortal Kombat Advance,2.0
GBA/Nintendo,Oddworld: Munch's Oddysee,2.5
GBA/Nintendo,Fear Factor: Unleashed,3.0
GBA/Nintendo,Legends of Wrestling II,3.7
GBA/Nintendo,Shrek 2,3.8
GBA/Nintendo,Defender of the Crown,4.0
GBA/Nintendo,David Beckham Soccer,4.2
GBA/Nintendo,Popeye: Rush for Spinach,4.2
GBA/Nintendo,Star Wars Episode II: Attack of the Clones,4.3
GBA/Nintendo,Mucha Lucha! Mascaritas of the Lost Code,4.3
GC/Nintendo,Tom Clancy's Ghost Recon 2,1.4
GC/Nintendo,Bad Boys: Miami Takedown,2.0
GC/Nintendo,Zapper,2.5
GC/Nintendo,Batman: Dark Tomorrow,2.7
GC/Nintendo,Aquaman: Battle for Atlantis,2.8
GC/Nintendo,Universal Studios Theme Parks Adventure,2.9
GC/Nintendo,Disney's Donald Duck: Goin' Quackers,3.0
GC/Nintendo,Wallace & Gromit in Project Zoo,3.0
GC/Nintendo,Charlie's Angels,3.1
GC/Nintendo,Charlie and the Chocolate Factory,3.2
N64/Nintendo,"Hey You, Pikachu!",6.4
N64/Nintendo,Fighter Destiny 2,6.6
N64/Nintendo,Army Men: Sarge's Heroes 2,6.8
N64/Nintendo,Spider-Man,6.9
N64/Nintendo,Turok 3: Shadow of Oblivion,7.1
N64/Nintendo,Cruis'n Exotica,7.3
N64/Nintendo,Mickey's Speedway USA,7.3
N64/Nintendo,Hercules: The Legendary Journeys,7.4
N64/Nintendo,Army Men: Air Combat,7.8
N64/Nintendo,007: The World is Not Enough,7.8
PC/PC,Wild West Online,0.2
PC/PC,Star Wars Battlefront II,1.0
PC/PC,Metal Gear Survive,1.1
PC/PC,Ride to Hell: Retribution,1.2
PC/PC,Alone in the Dark: Illumination,1.2
PC/PC,Corpse of Discovery,1.3
PC/PC,Destiny 2: Curse of Osiris,1.3
PC/PC,Legends of Pegasus,1.5
PC/PC,R.I.P.D. The Game,1.5
PC/PC,Sacred 3,1.5
PS/Sony,Mortal Kombat: Special Forces,2.1
PS/Sony,Persona 2: Eternal Punishment,3.1
PS/Sony,KISS Pinball,3.8
PS/Sony,HBO Boxing,4.0
PS/Sony,007 Racing,4.7
PS/Sony,FIFA Soccer 2002,5.0
PS/Sony,Dragon Ball Z: Ultimate Battle 22,5.0
PS/Sony,Ball Breakers,5.3
PS/Sony,Danger Girl,5.5
PS/Sony,The Simpsons Wrestling,5.5
PS2/Sony,Zathura,2.0
PS2/Sony,Big Mutha Truckers 2,2.1
PS2/Sony,Thrillville: Off the Rails,2.1
PS2/Sony,Driven,3.0
PS2/Sony,Thrillville,3.0
PS2/Sony,Wallace & Gromit in Project Zoo,3.2
PS2/Sony,MTV's Celebrity Deathmatch,3.2
PS2/Sony,McFarlane's Evil Prophecy,3.2
PS2/Sony,Dog's Life,3.2
PS2/Sony,Wallace & Gromit: Curse of the Were-Rabbit,3.2
PS3/Sony,Power Gig: Rise of the SixString,0.5
PS3/Sony,NBA Unrivaled,0.9
PS3/Sony,Fuel Overdose,1.3
PS3/Sony,Rambo: The Video Game,1.5
PS3/Sony,Clash of the Titans,1.7
PS3/Sony,Mindjack,1.7
PS3/Sony,The History Channel: Battle for the Pacific,1.8
PS3/Sony,Leisure Suit Larry: Box Office Bust,1.9
PS3/Sony,SoulCalibur: Lost Swords,1.9
PS3/Sony,Star Trek The Video Game,2.0
PS4/Sony,Ghostbusters,1.0
PS4/Sony,Star Wars Battlefront II,1.0
PS4/Sony,Crisis on the Planet of the Apes VR,1.3
PS4/Sony,Tony Hawk's Pro Skater 5,1.4
PS4/Sony,Call of Duty: WWII - The War Machine,1.4
PS4/Sony,Extinction,1.4
PS4/Sony,Destiny 2: Curse of Osiris,1.5
PS4/Sony,Metal Gear Survive,1.5
PS4/Sony,Air Conflicts: Vietnam Ultimate Edition,1.6
PS4/Sony,NBA 2K18,1.6
PSP/Sony,Thrillville: Off the Rails,0.8
PSP/Sony,Dragon Ball: Evolution,0.9
PSP/Sony,DreamWorks Shrek the Third,2.7
PSP/Sony,World Championship Poker 2: Featuring Howard Lederer,2.8
PSP/Sony,Thrillville,2.8
PSP/Sony,NBA 10 The Inside,3.0
PSP/Sony,Scarface: Money. Power. Respect.,3.1
PSP/Sony,Angry Birds,3.3
PSP/Sony,Shin Megami Tensei: Persona,3.5
PSP/Sony,TMNT,4.0
Switch/Nintendo,Vroom in the Night Sky,3.1
Switch/Nintendo,Scribblenauts Showdown,4.0
Switch/Nintendo,NBA 2K18,4.3
Switch/Nintendo,Fantasy Hero: Unsigned Legacy,4.3
Switch/Nintendo,Shadow Bug,4.3
Switch/Nintendo,The Deer God,4.4
Switch/Nintendo,Burly Men At Sea,4.4
Switch/Nintendo,New Frontier Days: Founding Pioneers,4.6
Switch/Nintendo,Touhou Kobuto V: Burst Battle,4.6
Switch/Nintendo,1-2-Switch,4.8
VITA/Sony,Chronovolt,3.2
VITA/Sony,Ridge Racer,3.7
VITA/Sony,Reality Fighters,3.8
VITA/Sony,StarDrone Extreme,4.0
VITA/Sony,Operation Babel: New Tokyo Legacy,4.0
VITA/Sony,FIFA Soccer 13,4.2
VITA/Sony,Run Like Hell!,4.3
VITA/Sony,A.W.: Phoenix Festa,4.5
VITA/Sony,Call of Duty: Black Ops Declassified,4.9
VITA/Sony,Asphalt: Injection,5.0
WII/Nintendo,Pool Party,0.5
